TECHNICAL_SUB_ENTITY_ID,TECHNICAL_SUB_ENTITY_NAME_P1,TECHNICAL_SUB_ENTITY_NAME_R1,ACTIVITY_ENTITY_NAME_P1,ACTIVITY_ENTITY_NAME_R1,TECHNICAL_ENTITY_NAME_P1,TECHNICAL_ENTITY_NAME_R1,AE_Name_Match,TE_Name_Match,UNIQUE_FIELD_NAME,P1_Present,R1_Present,_AE_NAME_norm_P1,_TE_NAME_norm_P1,PMASTER_NAME,PROJECT_NAME,_AE_NAME_norm_R1,_TE_NAME_norm_R1
60573,Mero FFD NFA,Mero FFD NFA,Mero FFD NFA,Mero FFD NFA,Mero FFD NFA,Mero FFD NFA,✅,✅,Mero,✅,✅,mero ffd nfa,mero ffd nfa,Mero FFD NFA,Mero FFD NFA,mero ffd nfa,mero ffd nfa
61875,ZERO_MOVED_Mero-1 - PNW6,ZERO_MOVED_Mero-1 - PNW6,Mero 1 NFA,Mero 1 NFA,Mero 1 NFA,Mero 1 NFA,✅,✅,Mero,✅,✅,mero 1 nfa,mero 1 nfa,Mero 1 NFA,Mero 1 NFA,mero 1 nfa,mero 1 nfa
66864,ZERO_MOVED_MERO-3-DEV-GASCIO,ZERO_MOVED_MERO-3-DEV-GASCIO,Mero 3 DEV,Americas Other ARPR Entries,Mero 3 DEV,,❌,❌,Mero,✅,✅,mero 3 dev,mero 3 dev,Americas Other ARPR Entries,,americas other arpr entries,
72912,Mero-2-WWT-FAILED,Mero-2-WWT-FAILED,Mero 2 DEV,Mero 2 DEV,Mero 2 DEV,Mero 2 DEV,✅,✅,Mero,✅,✅,mero 2 dev,mero 2 dev,Mero 2 DEV,Mero 2 DEV,mero 2 dev,mero 2 dev
72920,Mero-3 - MR33,Mero-3 - MR33,Mero 3 NFA,Mero 3 NFA,Mero 3 NFA,Mero 3 NFA,✅,✅,Mero,✅,✅,mero 3 nfa,mero 3 nfa,Mero 3 NFA,Mero 3 NFA,mero 3 nfa,mero 3 nfa
72921,Mero-3 - MR29,Mero-3 - MR29,Mero 3 NFA,Mero 3 NFA,Mero 3 NFA,Mero 3 NFA,✅,✅,Mero,✅,✅,mero 3 nfa,mero 3 nfa,Mero 3 NFA,Mero 3 NFA,mero 3 nfa,mero 3 nfa
72923,Mero-3 - MR20,Mero-3 - MR20,Mero 3 DEV,Mero 3 DEV,Mero 3 DEV,Mero 3 DEV,✅,✅,Mero,✅,✅,mero 3 dev,mero 3 dev,Mero 3 DEV,Mero 3 DEV,mero 3 dev,mero 3 dev
72924,Mero-3 - MR32,Mero-3 - MR32,Mero 3 DEV,Mero 3 DEV,Mero 3 DEV,Mero 3 DEV,✅,✅,Mero,✅,✅,mero 3 dev,mero 3 dev,Mero 3 DEV,Mero 3 DEV,mero 3 dev,mero 3 dev
72925,Mero-4 - 741,Mero-4 - 741,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,✅,✅,Mero,✅,✅,mero 4 dev,mero 4 dev,Mero 4 DEV,Mero 4 DEV,mero 4 dev,mero 4 dev
72929,Mero-4 - MR37,Mero-4 - MR37,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,✅,✅,Mero,✅,✅,mero 4 dev,mero 4 dev,Mero 4 DEV,Mero 4 DEV,mero 4 dev,mero 4 dev
72930,Mero-4 - 747,Mero-4 - 747,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,✅,✅,Mero,✅,✅,mero 4 dev,mero 4 dev,Mero 4 DEV,Mero 4 DEV,mero 4 dev,mero 4 dev
72935,Mero-5-In License,Mero-5-In License,Mero 5,Mero 5,Mero 5 In License,Mero 5 In License,✅,✅,Mero,✅,✅,mero 5,mero 5 in license,Mero 5,Mero 5 In License,mero 5,mero 5 in license
72936,Mero-4 - MR22,Mero-4 - MR22,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,✅,✅,Mero,✅,✅,mero 4 dev,mero 4 dev,Mero 4 DEV,Mero 4 DEV,mero 4 dev,mero 4 dev
72938,Mero-5-Post License,Mero-5-Post License,Mero 5,Mero 5,Mero 5 Lic Ext,Mero 5 Lic Ext,✅,✅,Mero,✅,✅,mero 5,mero 5 lic ext,Mero 5,Mero 5 Lic Ext,mero 5,mero 5 lic ext
72940,Mero-4 - MR01,Mero-4 - MR01,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,✅,✅,Mero,✅,✅,mero 4 dev,mero 4 dev,Mero 4 DEV,Mero 4 DEV,mero 4 dev,mero 4 dev
72942,Mero-4-NFA,Mero-4-NFA,Mero 4 NFA,Mero 4 NFA,Mero 4 NFA,Mero 4 NFA,✅,✅,Mero,✅,✅,mero 4 nfa,mero 4 nfa,Mero 4 NFA,Mero 4 NFA,mero 4 nfa,mero 4 nfa
72943,Mero-4 - MR24,Mero-4 - MR24,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,✅,✅,Mero,✅,✅,mero 4 dev,mero 4 dev,Mero 4 DEV,Mero 4 DEV,mero 4 dev,mero 4 dev
78442,Libra C3 DEV,,Libra  C3 DEV,,Libra C3 DEV,,❌,❌,,✅,❌,libra  c3 dev,libra c3 dev,,,,
<NA>,,,,Mero 1&2 Hi-Sep_Delete,,,❌,❌,Mero,❌,✅,,,Mero 1&2 Hi-Sep_Delete,,mero 1&2 hi-sep_delete,
